/inm X,/inm Y,/inp X,/inp Y,/pout2 X,/pout2 Y,/pout1 X,/pout1 Y,/CLK X,/CLK Y,/M0/S X,/M0/S Y
2.166666666666667e-09,3.9,2.166666666666667e-09,3.8,2.166666666666667e-09,1.405384301930535,2.166666666666667e-09,1.907221364028718,2.166666666666667e-09,0,2.166666666666667e-09,5.823257330405594e-05
2.196953440787254e-09,3.9,2.196953440787254e-09,3.8,2.196953440787254e-09,1.35598076871579,2.196953440787254e-09,1.972273472462919,2.196953440787254e-09,0,2.196953440787254e-09,5.801791813210821e-05
2.257526989028429e-09,3.9,2.257526989028429e-09,3.8,2.257526989028429e-09,1.221680981280924,2.257526989028429e-09,2.120810271235826,2.257526989028429e-09,0,2.257526989028429e-09,5.750346114972901e-05
2.342471174497993e-09,3.9,2.342471174497993e-09,3.8,2.342471174497993e-09,0.9291903324635656,2.342471174497993e-09,2.36850898241794,2.342471174497993e-09,0,2.342471174497993e-09,5.668854284076869e-05
2.421235587248996e-09,3.9,2.421235587248996e-09,3.8,2.421235587248996e-09,0.6388657318124955,2.421235587248996e-09,2.590902375255986,2.421235587248996e-09,0,2.421235587248996e-09,5.590658014537946e-05
2.460617793624498e-09,3.9,2.460617793624498e-09,3.8,2.460617793624498e-09,0.5297733056617155,2.460617793624498e-09,2.689084087133938,2.460617793624498e-09,0,2.460617793624498e-09,5.546934697854931e-05
2.5e-09,3.9,2.5e-09,3.8,2.5e-09,0.4472758827111986,2.5e-09,2.785210444613988,2.5e-09,0,2.5e-09,5.471480165699599e-05
2.510066329422692e-09,3.9,2.510066329422692e-09,3.8,2.510066329422692e-09,0.4415065707235651,2.510066329422692e-09,2.827497874994125,2.510066329422692e-09,0.1006632942269218,2.510066329422692e-09,5.394645758859654e-05
2.527473248641595e-09,3.9,2.527473248641595e-09,3.8,2.527473248641595e-09,0.4312342731713607,2.527473248641595e-09,2.90089000343581,2.527473248641595e-09,0.2747324864159481,2.527473248641595e-09,5.282141829904308e-05
2.543306852191668e-09,3.9,2.543306852191668e-09,3.8,2.543306852191668e-09,0.4209277728946992,2.543306852191668e-09,2.967540678431944,2.543306852191668e-09,0.4330685219166772,2.543306852191668e-09,5.132309348436737e-05
2.574974059291814e-09,3.9,2.574974059291814e-09,3.8,2.574974059291814e-09,0.3972888262746878,2.574974059291814e-09,3.096869819725505,2.574974059291814e-09,0.7497405929181354,2.574974059291814e-09,4.639151023019482e-05
2.607396042673797e-09,3.9,2.607396042673797e-09,3.8,2.607396042673797e-09,0.3747666542777471,2.607396042673797e-09,3.226082609033285,2.607396042673797e-09,1.073960426737972,2.607396042673797e-09,3.943452686462376e-05
2.672240009437765e-09,3.9,2.672240009437765e-09,3.8,2.672240009437765e-09,0.302359745216632,2.672240009437765e-09,3.377778336601389,2.672240009437765e-09,1.722400094377646,2.672240009437765e-09,3.063441752249343e-05
2.718755103257477e-09,3.9,2.718755103257477e-09,3.8,2.718755103257477e-09,0.2270787438741057,2.718755103257477e-09,3.309041807375309,2.718755103257477e-09,2.187551032574772,2.718755103257477e-09,3.386960686290657e-05
2.765089648056786e-09,3.9,2.765089648056786e-09,3.8,2.765089648056786e-09,0.1613446025355361,2.765089648056786e-09,3.05547800801785,2.765089648056786e-09,2.650896480567859,2.765089648056786e-09,4.27759616524217e-05
