/M9/S (temp=-20) X,/M9/S (temp=-20) Y,/M9/S (temp=5) X,/M9/S (temp=5) Y,/M9/S (temp=30) X,/M9/S (temp=30) Y,/M9/S (temp=55) X,/M9/S (temp=55) Y,/M9/S (temp=80) X,/M9/S (temp=80) Y
3.300000000000002,2.607750847232518e-05,3.300000000000002,2.614209572697708e-05,3.300000000000002,2.61809105908819e-05,3.300000000000002,2.619580304586319e-05,3.300000000000002,2.618814484557769e-05
3.400000000000002,2.602128931034969e-05,3.400000000000002,2.608155307801212e-05,3.400000000000002,2.611645251851241e-05,3.400000000000002,2.612782747378053e-05,3.400000000000002,2.61170238863087e-05
3.500000000000002,2.595713193272632e-05,3.500000000000002,2.601256006686988e-05,3.500000000000002,2.60430822426949e-05,3.500000000000002,2.605051885533913e-05,3.500000000000002,2.603618045027239e-05
3.600000000000002,2.588316415369222e-05,3.600000000000002,2.593312852657663e-05,3.600000000000002,2.595870145363951e-05,3.600000000000002,2.596167142274501e-05,3.600000000000002,2.594330136151771e-05
3.700000000000002,2.579685823488078e-05,3.700000000000002,2.584056820781004e-05,3.700000000000002,2.586046191080784e-05,3.700000000000002,2.585827914965564e-05,3.700000000000002,2.583521961100285e-05
3.800000000000002,2.569471090168759e-05,3.800000000000002,2.57311380935185e-05,3.800000000000002,2.57443853802959e-05,3.800000000000002,2.573612116283626e-05,3.800000000000002,2.570746190988954e-05
3.900000000000002,2.557171480960194e-05,3.900000000000002,2.5599465414053e-05,3.900000000000002,2.560472447849012e-05,3.900000000000002,2.558905807599474e-05,3.900000000000002,2.555347409862203e-05
4.000000000000002,2.542044608251205e-05,4.000000000000002,2.543753288924882e-05,4.000000000000002,2.543283762774754e-05,4.000000000000002,2.540778210094237e-05,4.000000000000002,2.536323436573393e-05
4.100000000000001,2.522940826060951e-05,4.100000000000001,2.523282247045075e-05,4.100000000000001,2.521510824371113e-05,4.100000000000001,2.517748796506941e-05,4.100000000000001,2.512065511631315e-05
4.200000000000001,2.49798558749777e-05,4.200000000000001,2.496472544327357e-05,4.200000000000001,2.492889613003454e-05,4.200000000000001,2.487332742857142e-05,4.200000000000001,2.479851464803648e-05
